Year,Month,percent,regionId,date,regionName
1921,Jun,-9,1,1921 Jun,Global
1921,Jul,1,1,1921 Jul,Global
1921,Aug,-46,1,1921 Aug,Global
1921,Sep,-13,1,1921 Sep,Global
1921,Oct,-9,1,1921 Oct,Global
1921,Nov,-27,1,1921 Nov,Global
1921,Dec,-18,1,1921 Dec,Global
1922,Jan,-40,1,1922 Jan,Global
1922,Feb,-46,1,1922 Feb,Global
1922,Mar,-32,1,1922 Mar,Global
1922,Apr,-11,1,1922 Apr,Global
1922,May,-37,1,1922 May,Global
1922,Jun,-32,1,1922 Jun,Global
1922,Jul,-4,1,1922 Jul,Global
1922,Aug,-24,1,1922 Aug,Global
1922,Sep,-13,1,1922 Sep,Global
1922,Oct,-25,1,1922 Oct,Global
1922,Nov,-11,1,1922 Nov,Global
1922,Dec,-15,1,1922 Dec,Global
1923,Jan,-25,1,1923 Jan,Global
1923,Feb,-21,1,1923 Feb,Global
1923,Mar,-23,1,1923 Mar,Global
1923,Apr,-47,1,1923 Apr,Global
1923,May,-32,1,1923 May,Global
1923,Jun,-27,1,1923 Jun,Global
1923,Jul,-49,1,1923 Jul,Global
1923,Aug,-36,1,1923 Aug,Global
1923,Sep,-29,1,1923 Sep,Global
1923,Oct,-8,1,1923 Oct,Global
1923,Nov,-2,1,1923 Nov,Global
1923,Dec,-8,1,1923 Dec,Global
1924,Jan,-28,1,1924 Jan,Global
1924,Feb,-42,1,1924 Feb,Global
1924,Mar,-13,1,1924 Mar,Global
1924,Apr,-50,1,1924 Apr,Global
1924,May,-27,1,1924 May,Global
1924,Jun,-16,1,1924 Jun,Global
1924,Jul,-14,1,1924 Jul,Global
1924,Aug,-16,1,1924 Aug,Global
1924,Sep,-5,1,1924 Sep,Global
1924,Oct,-13,1,1924 Oct,Global
1924,Nov,-6,1,1924 Nov,Global
1924,Dec,-28,1,1924 Dec,Global
1925,Jan,-42,1,1925 Jan,Global
1925,Feb,-35,1,1925 Feb,Global
1925,Mar,-27,1,1925 Mar,Global
1925,Apr,-15,1,1925 Apr,Global
1925,May,-33,1,1925 May,Global
